rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/std,train/learning_rate,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_loss,train/n_updates
6.59,1,19,-1.1570438146591187,2432,1552,1.0022681951522827,0.001,-0.14121532440185547,-22.726001739501953,0.26909103989601135,0.21316541731357574,18
6.53,1,20,-1.1394565105438232,2560,1642,1.002244234085083,0.001,-0.0791558027267456,-22.735811233520508,0.21161571145057678,1.8354498147964478,19
6.42,1,21,-1.1219373941421509,2688,1727,1.002145528793335,0.001,0.06628549098968506,-22.73548126220703,0.26449382305145264,-5.072320461273193,20
6.02,1,22,-1.0438209772109985,2816,1827,1.002428650856018,0.001,-0.19545817375183105,-22.733936309814453,0.28472885489463806,4.0248308181762695,21
5.89,1,23,-1.0157009363174438,2944,1911,1.002121090888977,0.001,-0.15275025367736816,-22.73796272277832,0.20012521743774414,2.214179277420044,22
5.59,1,24,-0.9600176811218262,3072,2002,1.0025479793548584,0.001,-0.04387331008911133,-22.732786178588867,0.22484995424747467,-2.6894381046295166,23
5.61,1,25,-0.9685042500495911,3200,2089,1.0027484893798828,0.001,-0.12367904186248779,-22.73949432373047,0.21958014369010925,1.6221052408218384,24
5.66,1,26,-0.9832534790039062,3328,2183,1.0019936561584473,0.001,-0.14944422245025635,-22.742687225341797,0.281540185213089,-3.6656274795532227,25
5.39,1,27,-0.9392561316490173,3456,2272,1.0015802383422852,0.001,-0.14160871505737305,-22.730924606323242,0.20865413546562195,1.9403035640716553,26
5.1,1,28,-0.8920100927352905,3584,2361,1.0015100240707397,0.001,-0.21551513671875,-22.724388122558594,0.1916865110397339,1.0955114364624023,27
4.76,1,29,-0.8391990065574646,3712,2457,1.0019763708114624,0.001,-0.19291388988494873,-22.723100662231445,0.13021188974380493,0.49791163206100464,28
4.8,1,30,-0.8393058180809021,3840,2538,1.0014675855636597,0.001,-0.09548544883728027,-22.730714797973633,0.14391997456550598,-1.3638685941696167,29
4.97,1,31,-0.8677066564559937,3968,2619,1.0013728141784668,0.001,-0.05156087875366211,-22.722440719604492,0.13626837730407715,0.6762477159500122,30
4.79,1,32,-0.8250885605812073,4096,2718,1.001386046409607,0.001,-0.011582493782043457,-22.72050666809082,0.22721363604068756,-3.948814630508423,31
4.79,1,33,-0.8194411993026733,4224,2812,1.001474380493164,0.001,-0.11764371395111084,-22.720733642578125,0.15543130040168762,5.779958724975586,32
4.55,1,34,-0.773335337638855,4352,2911,1.0012496709823608,0.001,-0.03754901885986328,-22.72218132019043,0.15484529733657837,-2.294496536254883,33
4.34,1,35,-0.7371405959129333,4480,3010,1.0018367767333984,0.001,-0.17156147956848145,-22.718467712402344,0.13349291682243347,1.5474426746368408,34
4.39,1,36,-0.7392119765281677,4608,3103,1.0017513036727905,0.001,0.0022129416465759277,-22.727888107299805,0.11927543580532074,0.1471402794122696,35
4.14,1,37,-0.7117783427238464,4736,3207,1.0014824867248535,0.001,0.003801107406616211,-22.726303100585938,0.10054142773151398,-0.6173276305198669,36
4.08,1,38,-0.7054556012153625,4864,3326,1.001623272895813,0.001,-0.12871062755584717,-22.72215461730957,0.0654144287109375,1.2822262048721313,37
4.15,1,39,-0.7289801239967346,4992,3430,1.0013889074325562,0.001,0.009230077266693115,-22.724424362182617,0.05979612469673157,-0.7353597283363342,38
4.05,1,40,-0.7088068127632141,5120,3539,1.0017088651657104,0.001,-0.024477124214172363,-22.720813751220703,0.13553205132484436,-1.2392585277557373,39
4.1,1,41,-0.7203571200370789,5248,3659,1.0007832050323486,0.001,-0.07866168022155762,-22.72596549987793,0.07901400327682495,1.4902169704437256,40
